x,y,z,g,wa,wr
51.0,144.0,80.0,134,-33.0,90
51.0,144.0,80.0,135,-28.0,90
51.0,145.0,80.0,137,-22.0,90
50.0,145.0,80.0,140,-13.0,90
50.0,146.0,80.0,136,-5.0,90
50.0,146.0,80.0,136,-1.0,90
50.0,146.0,81.0,143,-2.0,90
50.0,138.0,80.0,142,-12.0,90
43.0,116.0,79.0,139,-25.0,90
37.0,104.0,78.0,136,-38.0,90
33.0,100.0,78.0,121,-47.0,90
32.0,99.0,77.0,99,-53.0,90
33.0,99.0,77.0,82,-57.0,90
33.0,99.0,77.0,71,-59.0,90
37.0,99.0,77.0,64,-59.0,90
46.0,101.0,77.0,60,-55.0,90
54.0,107.0,77.0,60,-49.0,90
62.0,128.0,78.0,77,-40.0,90
61.0,147.0,78.0,94,-28.0,90
56.0,158.0,79.0,100,-15.0,90
54.0,162.0,80.0,97,6.0,90
51.0,164.0,81.0,93,23.0,90
46.0,165.0,81.0,95,34.0,90
47.0,164.0,82.0,106,41.0,90
51.0,161.0,82.0,121,45.0,90
55.0,157.0,83.0,133,45.0,90
60.0,152.0,84.0,137,42.0,90
64.0,148.0,84.0,136,37.0,90
57.0,145.0,85.0,135,38.0,90
26.0,161.0,85.0,146,54.0,90
8.0,174.0,85.0,158,66.0,90
0.0,175.0,84.0,165,74.0,90
0.0,175.0,84.0,170,80.0,90
2.0,180.0,84.0,174,84.0,90
6.0,179.0,84.0,177,86.0,90
6.0,173.0,84.0,178,88.0,90
6.0,171.0,83.0,179,89.0,90
10.0,167.0,82.0,179,89.0,90
6.0,161.0,81.0,179,89.0,90
10.0,168.0,81.0,179,90.0,90
4.0,152.0,81.0,180,90.0,90
0.0,121.0,80.0,165,90.0,90
0.0,107.0,79.0,137,84.0,90
0.0,104.0,79.0,110,74.0,90
11.0,98.0,79.0,90,66.0,90
84.0,153.0,79.0,75,67.0,90
120.0,172.0,81.0,86,75.0,90
134.0,164.0,82.0,90,66.0,90
132.0,155.0,84.0,93,44.0,90
124.0,151.0,85.0,102,19.0,90
120.0,142.0,85.0,118,-7.0,90
117.0,129.0,85.0,132,-31.0,90
114.0,122.0,85.0,143,-49.0,90
114.0,118.0,84.0,147,-60.0,90
114.0,116.0,83.0,146,-66.0,90
113.0,114.0,82.0,143,-70.0,90
111.0,112.0,82.0,141,-73.0,90
112.0,111.0,82.0,139,-74.0,90
112.0,110.0,81.0,138,-74.0,90
112.0,109.0,81.0,137,-73.0,90
115.0,109.0,81.0,136,-71.0,90
124.0,110.0,81.0,136,-63.0,90
123.0,127.0,81.0,136,-43.0,90
112.0,135.0,81.0,133,-26.0,90
107.0,134.0,82.0,118,1.0,90
105.0,130.0,83.0,107,19.0,90
105.0,126.0,83.0,103,25.0,90
106.0,121.0,84.0,101,28.0,90
107.0,115.0,84.0,100,27.0,90
111.0,106.0,84.0,104,24.0,90
108.0,68.0,84.0,112,10.0,90
99.0,52.0,83.0,126,-15.0,90
98.0,55.0,82.0,139,-37.0,90
98.0,57.0,82.0,149,-53.0,90
99.0,57.0,81.0,156,-63.0,90
100.0,57.0,81.0,160,-69.0,90
102.0,58.0,80.0,160,-73.0,90
106.0,61.0,80.0,160,-73.0,90
113.0,68.0,81.0,162,-70.0,90
118.0,89.0,81.0,164,-60.0,90
114.0,108.0,82.0,160,-42.0,90
104.0,122.0,82.0,154,-20.0,90
96.0,128.0,82.0,148,0.0,90
97.0,125.0,82.0,142,17.0,90
100.0,108.0,82.0,136,17.0,90
93.0,99.0,81.0,128,8.0,90
92.0,101.0,79.0,118,-2.0,90
94.0,101.0,77.0,107,-9.0,90
93.0,101.0,75.0,97,-15.0,90
95.0,99.0,74.0,89,-18.0,90
96.0,99.0,73.0,83,-20.0,90
95.0,99.0,72.0,79,-21.0,90
94.0,99.0,72.0,77,-22.0,90
94.0,100.0,71.0,75,-22.0,90
95.0,100.0,72.0,74,-22.0,90
102.0,102.0,72.0,75,-18.0,90
102.0,106.0,74.0,81,-15.0,90
96.0,109.0,79.0,96,-11.0,90
98.0,109.0,85.0,119,-5.0,90
104.0,108.0,87.0,132,-2.0,90
103.0,98.0,85.0,132,-3.0,90
94.0,93.0,80.0,122,-6.0,90
88.0,93.0,75.0,110,-9.0,90
87.0,94.0,71.0,99,-11.0,90
86.0,94.0,68.0,88,-13.0,90
86.0,95.0,66.0,80,-15.0,90
87.0,95.0,65.0,74,-17.0,90
87.0,95.0,64.0,71,-17.0,90
89.0,95.0,64.0,69,-18.0,90
98.0,95.0,65.0,69,-17.0,90
99.0,95.0,71.0,78,-14.0,90
96.0,97.0,77.0,92,-13.0,90
95.0,99.0,81.0,103,-12.0,90
97.0,99.0,85.0,120,-10.0,90
99.0,98.0,87.0,128,-8.0,90
97.0,91.0,84.0,125,-9.0,90
92.0,88.0,79.0,115,-9.0,90
88.0,87.0,75.0,103,-10.0,90
85.0,87.0,71.0,92,-11.0,90
84.0,87.0,69.0,83,-12.0,90
84.0,86.0,67.0,76,-13.0,90
87.0,87.0,65.0,71,-14.0,90
103.0,87.0,65.0,68,-16.0,90
121.0,95.0,64.0,63,-19.0,90
130.0,103.0,61.0,61,-21.0,90
135.0,101.0,57.0,66,-23.0,90
136.0,96.0,53.0,65,-27.0,90
136.0,94.0,50.0,57,-30.0,90
132.0,93.0,49.0,51,-32.0,90
116.0,92.0,47.0,50,-34.0,90
92.0,93.0,46.0,52,-34.0,90
63.0,95.0,45.0,61,-33.0,90
41.0,103.0,42.0,69,-31.0,90
33.0,105.0,36.0,65,-32.0,90
31.0,104.0,32.0,59,-33.0,90
35.0,103.0,29.0,58,-33.0,90
43.0,103.0,27.0,61,-34.0,90
69.0,96.0,27.0,58,-31.0,90
85.0,85.0,35.0,64,-24.0,90
92.0,82.0,43.0,79,-17.0,90
94.0,81.0,50.0,94,-12.0,90
94.0,83.0,55.0,105,-8.0,90
90.0,84.0,59.0,114,-4.0,90
88.0,84.0,62.0,121,-1.0,90
86.0,84.0,63.0,125,1.0,90
82.0,85.0,64.0,128,3.0,90
74.0,86.0,67.0,132,6.0,90
58.0,88.0,75.0,138,8.0,90
49.0,90.0,83.0,147,9.0,90
46.0,89.0,91.0,156,8.0,90
48.0,89.0,98.0,164,5.0,90
60.0,90.0,102.0,170,2.0,90
91.0,90.0,104.0,173,0.0,90
113.0,86.0,99.0,171,-4.0,90
119.0,79.0,92.0,158,-9.0,90
124.0,75.0,82.0,142,-13.0,90
124.0,71.0,72.0,133,-16.0,90
120.0,70.0,61.0,128,-18.0,90
110.0,73.0,50.0,126,-22.0,90
87.0,78.0,40.0,126,-25.0,90
46.0,96.0,29.0,113,-29.0,90
0.0,125.0,19.0,106,-39.0,90
0.0,130.0,12.0,85,-44.0,90
0.0,130.0,8.0,68,-49.0,90
0.0,122.0,5.0,49,-47.0,90
6.0,107.0,5.0,49,-55.0,90
24.0,102.0,7.0,66,-58.0,90
38.0,94.0,8.0,79,-58.0,90
50.0,91.0,10.0,87,-56.0,90
67.0,89.0,11.0,92,-52.0,90
94.0,80.0,13.0,99,-45.0,90
108.0,66.0,19.0,107,-37.0,90
110.0,72.0,26.0,117,-27.0,90
109.0,85.0,32.0,122,-18.0,90
101.0,101.0,38.0,125,-9.0,90
85.0,120.0,44.0,131,2.0,90
73.0,131.0,49.0,138,14.0,90
68.0,137.0,53.0,145,23.0,90
72.0,138.0,56.0,149,28.0,90
79.0,136.0,59.0,147,29.0,90
91.0,128.0,60.0,144,25.0,90
97.0,119.0,61.0,140,19.0,90
103.0,112.0,62.0,136,12.0,90
107.0,106.0,63.0,134,4.0,90
104.0,102.0,63.0,133,-4.0,90
98.0,100.0,63.0,131,-11.0,90
90.0,100.0,64.0,131,-15.0,90
81.0,99.0,64.0,130,-16.0,90
77.0,99.0,64.0,130,-16.0,90
76.0,101.0,65.0,131,-16.0,90
80.0,102.0,65.0,130,-15.0,90
88.0,103.0,65.0,130,-15.0,90
95.0,104.0,65.0,130,-15.0,90
102.0,104.0,66.0,129,-16.0,90
108.0,104.0,67.0,129,-17.0,90
111.0,105.0,68.0,129,-19.0,90
113.0,105.0,69.0,129,-20.0,90
113.0,105.0,70.0,130,-22.0,90
112.0,105.0,72.0,130,-23.0,90
112.0,104.0,73.0,130,-25.0,90
111.0,104.0,74.0,130,-26.0,90
110.0,101.0,75.0,130,-27.0,90
106.0,100.0,77.0,131,-27.0,90
104.0,99.0,78.0,131,-28.0,90
104.0,99.0,79.0,131,-29.0,90
104.0,99.0,79.0,132,-29.0,90
104.0,99.0,80.0,133,-30.0,90
104.0,99.0,80.0,133,-30.0,90
106.0,98.0,81.0,134,-30.0,90
103.0,98.0,81.0,133,-30.0,90
101.0,103.0,82.0,133,-28.0,90
102.0,109.0,82.0,132,-26.0,90
100.0,112.0,81.0,130,-26.0,90
98.0,111.0,80.0,128,-28.0,90
100.0,109.0,79.0,132,-29.0,90
100.0,108.0,78.0,136,-30.0,90
99.0,107.0,76.0,138,-29.0,90
99.0,107.0,76.0,132,-30.0,90
97.0,107.0,75.0,124,-32.0,90
94.0,108.0,74.0,118,-32.0,90
96.0,108.0,74.0,119,-29.0,90
96.0,108.0,73.0,124,-27.0,90
97.0,108.0,72.0,129,-26.0,90
