x,y,z,g,wa,wr
79.0,97.0,62.0,56,-20.0,90
78.0,95.0,68.0,59,-20.0,90
77.0,94.0,74.0,63,-19.0,90
75.0,92.0,80.0,69,-19.0,90
75.0,91.0,85.0,74,-18.0,90
76.0,91.0,89.0,79,-18.0,90
78.0,90.0,91.0,82,-18.0,90
77.0,90.0,93.0,84,-19.0,90
77.0,90.0,95.0,85,-19.0,90
77.0,90.0,95.0,85,-18.0,90
79.0,89.0,96.0,86,-18.0,90
93.0,89.0,96.0,86,-17.0,90
105.0,87.0,96.0,85,-17.0,90
108.0,84.0,94.0,82,-16.0,90
104.0,83.0,91.0,78,-16.0,90
100.0,82.0,89.0,75,-15.0,90
92.0,82.0,87.0,72,-14.0,90
88.0,80.0,84.0,69,-13.0,90
86.0,77.0,81.0,66,-13.0,90
82.0,76.0,77.0,63,-13.0,90
79.0,76.0,72.0,60,-13.0,90
78.0,75.0,69.0,58,-13.0,90
78.0,75.0,66.0,56,-14.0,90
78.0,75.0,64.0,55,-14.0,90
78.0,75.0,62.0,54,-14.0,90
78.0,75.0,62.0,53,-14.0,90
78.0,75.0,61.0,53,-14.0,90
76.0,77.0,61.0,55,-13.0,90
75.0,79.0,63.0,66,-12.0,90
76.0,80.0,65.0,77,-10.0,90
74.0,81.0,67.0,83,-8.0,90
74.0,81.0,69.0,89,-7.0,90
73.0,81.0,70.0,93,-6.0,90
74.0,81.0,71.0,96,-6.0,90
74.0,80.0,72.0,100,-6.0,90
72.0,80.0,72.0,102,-6.0,90
68.0,80.0,72.0,106,-5.0,90
69.0,79.0,73.0,110,-5.0,90
69.0,78.0,73.0,115,-5.0,90
71.0,78.0,73.0,118,-4.0,90
77.0,77.0,74.0,119,-4.0,90
84.0,77.0,74.0,115,-4.0,90
85.0,77.0,74.0,107,-4.0,90
85.0,78.0,73.0,97,-4.0,90
82.0,78.0,72.0,87,-5.0,90
80.0,79.0,70.0,78,-5.0,90
79.0,81.0,68.0,71,-6.0,90
79.0,81.0,65.0,66,-6.0,90
81.0,79.0,61.0,62,-7.0,90
81.0,79.0,55.0,60,-9.0,90
80.0,79.0,49.0,59,-11.0,90
78.0,78.0,45.0,58,-13.0,90
77.0,76.0,42.0,57,-15.0,90
78.0,75.0,38.0,56,-18.0,90
78.0,73.0,35.0,55,-20.0,90
82.0,72.0,32.0,54,-21.0,90
83.0,71.0,31.0,56,-22.0,90
84.0,70.0,30.0,61,-23.0,90
83.0,70.0,29.0,65,-23.0,90
83.0,70.0,28.0,67,-24.0,90
82.0,70.0,28.0,68,-24.0,90
81.0,70.0,27.0,68,-25.0,90
82.0,70.0,27.0,67,-25.0,90
84.0,70.0,26.0,67,-27.0,90
85.0,68.0,26.0,63,-31.0,90
84.0,65.0,24.0,58,-35.0,90
79.0,63.0,23.0,51,-40.0,90
72.0,62.0,22.0,45,-44.0,90
68.0,61.0,21.0,42,-48.0,90
70.0,60.0,22.0,41,-51.0,90
69.0,59.0,22.0,42,-53.0,90
67.0,58.0,24.0,42,-55.0,90
68.0,58.0,25.0,43,-55.0,90
69.0,57.0,26.0,45,-55.0,90
75.0,60.0,27.0,48,-49.0,90
75.0,76.0,30.0,52,-39.0,90
71.0,91.0,32.0,53,-27.0,90
70.0,95.0,35.0,55,-16.0,90
70.0,94.0,36.0,56,-9.0,90
69.0,94.0,38.0,57,-4.0,90
65.0,95.0,39.0,57,1.0,90
62.0,97.0,40.0,57,5.0,90
63.0,97.0,40.0,57,8.0,90
63.0,98.0,41.0,57,9.0,90
64.0,98.0,41.0,58,9.0,90
70.0,98.0,41.0,59,8.0,90
76.0,96.0,41.0,63,7.0,90
79.0,94.0,42.0,68,5.0,90
